Title,URL,Views,Channel,Upload Date,Duration
How China’s New AI Model DeepSeek Is Threatening U.S. Dominance,https://www.youtube.com/watch?v=WEBiebbeNCA&pp=ygUIRGVlcHNlZWs%3D,5.3M views,,3 weeks ago,40:25
Deepseek R1 Explained by a Retired Microsoft Engineer,https://www.youtube.com/watch?v=r3TpcHebtxM&pp=ygUIRGVlcHNlZWs%3D,2.3M views,,2 weeks ago,10:07
DeepSeek's New AI Model: A Game-Changer in Open-Source AI?,https://www.youtube.com/shorts/lKVYFl_tk78,164 views,,1 month ago,
China’s DeepSeek - A Balanced Overview,https://www.youtube.com/watch?v=-KK8SuvwoRQ&pp=ygUIRGVlcHNlZWs%3D,1M views,,2 weeks ago,18:42
DeepSeek Just Lost to Alibaba’s New AI!,https://www.youtube.com/watch?v=0GQe7FUkZBA&pp=ygUIRGVlcHNlZWs%3D,107K views,,2 weeks ago,
الذكاء الاصطناعي اللي دمر الشركات الامريكية - deepseek,https://www.youtube.com/watch?v=kBf8c0Wp8FI&pp=ygUIRGVlcHNlZWs%3D,114K views,,2 weeks ago,
Deepseek - a cheater? (Exposed),https://www.youtube.com/watch?v=9VvExifFdBE&pp=ygUIRGVlcHNlZWs%3D,433K views,,2 weeks ago,8:03
Things You Should Know About Deepseek AI !! #shorts #deepseek,https://www.youtube.com/shorts/LeeKyrHNX7U,8.4K views,,12 days ago,
🚨 DEEPSEEK: El TERREMOTO CHINO que NADIE ESPERABA y QUE PUEDE CAMBIARLO TODO. Las TECH se DESPLOMAN,https://www.youtube.com/watch?v=E56YjkyaGFI&pp=ygUIRGVlcHNlZWs%3D,867K views,,2 weeks ago,
DeepSeek R1 成功越狱！无审查、无思想钢印，无政治倾向，突破道德枷锁！AI 真的自由了？附模型下载 | 零度解说,https://www.youtube.com/watch?v=L1QkuWK4U9g&pp=ygUIRGVlcHNlZWs%3D,422K views,,10 days ago,
"Qué es DeepSeek, la IA china más barata que censura y desafía a las tecnológicas de EE. UU.",https://www.youtube.com/watch?v=N9M13Nn6VXo&pp=ygUIRGVlcHNlZWs%3D,651K views,,2 weeks ago,
DeepSeek se está garchando a todos.,https://www.youtube.com/watch?v=u6lLOoB5PgA&pp=ygUIRGVlcHNlZWs%3D,47K views,,2 weeks ago,4:55
Easiest $125/Hour DeepSeek Tutorial (Make Money Online 2025),https://www.youtube.com/watch?v=SqTYViQVq-8&pp=ygUIRGVlcHNlZWs%3D,77K views,,9 days ago,
CRISE NA BOLSA AMERICANA: A NOVA IA DeepSeek,https://www.youtube.com/watch?v=-dwswozDaqg&pp=ygUIRGVlcHNlZWs%3D,238K views,,4 days ago,13:30
DeepSeek Explained: AI is Changing EVERYTHING!,https://www.youtube.com/watch?v=gZuVtxavwc4&t=62s&pp=ygUIRGVlcHNlZWs%3D,8.8K views,,5 days ago,
DeepSeek is not just shaking up AI – it’s also shaking up US capitalism,https://www.youtube.com/watch?v=wMxXqDNu9_w&pp=ygUIRGVlcHNlZWs%3D,255K views,,2 weeks ago,8:49
How To Dropship With Deepseek (NEW AI METHOD REVEALED),https://www.youtube.com/watch?v=KQtRRPihI00&pp=ygUIRGVlcHNlZWs%3D,5.1K views,,2 days ago,23:14
The DARK Reality Of DeepSeek AI🔥🔥🔥,https://www.youtube.com/watch?v=ZSH4lX8XaOY&pp=ygUIRGVlcHNlZWs%3D,132K views,,13 days ago,
NEW DeepSeek-V3 Agents are INSANE!,https://www.youtube.com/shorts/jml8AftQZFM,29K views,,1 month ago,
"Deep Ai, Market Crash, ki vajah #deepseek",https://www.youtube.com/shorts/4RzW5l1YUfE,6.3K views,,2 weeks ago,
اخيرا الوحش الصيني المجاني بالكامل للذكاء الاصطناعي DeepSeek على الاستور | انسى ChatGPT,https://www.youtube.com/watch?v=wxHqXKDBY10&pp=ygUIRGVlcHNlZWs%3D,103K views,,3 weeks ago,
DeepSeek Sparks Global Tech Selloff,https://www.youtube.com/shorts/qkCDiIzDwFw,27K views,,2 weeks ago,
What is DeepSeek? Low-cost AI model rattles markets,https://www.youtube.com/watch?v=qDlV6IIh9As&pp=ygUIRGVlcHNlZWs%3D,40K views,,2 weeks ago,5:44
